DATE,lag_days
2020-01-22,17.0
2020-01-23,34.0
2020-01-24,34.0
2020-01-25,34.0
2020-01-26,34.0
2020-01-27,34.0
2020-01-28,34.0
2020-01-29,34.0
2020-01-30,34.0
2020-01-31,34.0
2020-02-01,34.0
2020-02-02,34.0
2020-02-03,34.0
2020-02-04,34.0
2020-02-05,34.0
2020-02-06,34.0
2020-02-07,34.0
2020-02-08,34.0
2020-02-09,34.0
2020-02-10,34.0
2020-02-11,34.0
2020-02-12,34.0
2020-02-13,34.0
2020-02-14,34.0
2020-02-15,34.0
2020-02-16,34.0
2020-02-17,34.0
2020-02-18,34.0
2020-02-19,34.0
2020-02-20,34.0
2020-02-21,34.0
2020-02-22,34.0
2020-02-23,34.0
2020-02-24,34.0
2020-02-25,34.0
2020-02-26,34.0
2020-02-27,34.0
2020-02-28,34.0
2020-02-29,34.0
2020-03-01,34.0
2020-03-02,34.0
2020-03-03,34.0
2020-03-04,34.0
2020-03-05,34.0
2020-03-06,34.0
2020-03-07,34.0
2020-03-08,34.0
2020-03-09,34.0
2020-03-10,34.0
2020-03-11,34.0
2020-03-12,34.0
2020-03-13,34.0
2020-03-14,34.0
2020-03-15,34.0
2020-03-16,34.0
2020-03-17,34.0
2020-03-18,34.0
2020-03-19,34.0
2020-03-20,34.0
2020-03-21,34.0
2020-03-22,34.0
2020-03-23,34.0
2020-03-24,34.0
2020-03-25,33.0
2020-03-26,32.0
2020-03-27,31.0
2020-03-28,30.0
2020-03-29,29.0
2020-03-30,28.0
2020-03-31,27.0
2020-04-01,26.0
2020-04-02,25.0
2020-04-03,24.0
2020-04-04,23.0
2020-04-05,22.0
2020-04-06,21.0
2020-04-07,20.0
2020-04-08,19.0
2020-04-09,18.0
2020-04-10,17.0
2020-04-11,16.0
2020-04-12,15.0
2020-04-13,14.0
2020-04-14,13.0
2020-04-15,12.0
2020-04-16,11.0
2020-04-17,10.0
2020-04-18,9.0
2020-04-19,8.0
2020-04-20,7.0
2020-04-21,6.0
2020-04-22,5.0
2020-04-23,4.0
2020-04-24,3.0
2020-04-25,2.0
2020-04-26,1.0
2020-04-27,0.0
2020-04-28,-1.0
2020-04-29,-2.0
2020-04-30,-3.0
2020-05-01,-4.0
2020-05-02,-5.0
2020-05-03,-6.0
2020-05-04,-7.0
2020-05-05,-8.0
2020-05-06,-9.0
2020-05-07,-10.0
2020-05-08,-11.0
2020-05-09,-12.0
2020-05-10,-13.0
2020-05-11,-14.0
2020-05-12,-15.0
2020-05-13,-16.0
2020-05-14,-17.0
2020-05-15,-18.0
2020-05-16,-19.0
2020-05-17,-20.0
2020-05-18,-21.0
2020-05-19,-22.0
2020-05-20,-23.0
2020-05-21,-24.0
2020-05-22,-25.0
2020-05-23,-26.0
2020-05-24,-27.0
2020-05-25,-28.0
2020-05-26,-29.0
2020-05-27,-30.0
2020-05-28,-31.0
2020-05-29,-32.0
2020-05-30,-33.0
2020-05-31,-34.0
2020-06-01,-34.0
2020-06-02,-34.0
2020-06-03,-34.0
2020-06-04,-34.0
2020-06-05,-34.0
2020-06-06,-34.0
2020-06-07,-34.0
2020-06-08,-34.0
2020-06-09,-34.0
2020-06-10,-34.0
2020-06-11,-34.0
2020-06-12,-34.0
2020-06-13,-34.0
2020-06-14,-34.0
2020-06-15,-34.0
2020-06-16,-34.0
2020-06-17,-34.0
2020-06-18,-34.0
2020-06-19,-34.0
2020-06-20,-34.0
2020-06-21,-34.0
2020-06-22,-34.0
2020-06-23,-34.0
2020-06-24,-34.0
2020-06-25,-34.0
2020-06-26,-34.0
2020-06-27,-34.0
2020-06-28,-34.0
2020-06-29,-34.0
2020-06-30,-34.0
2020-07-01,-34.0
2020-07-02,-34.0
2020-07-03,-34.0
2020-07-04,-34.0
2020-07-05,-34.0
2020-07-06,-5.5
2020-07-07,23.0
2020-07-08,23.0
2020-07-09,23.0
2020-07-10,22.0
2020-07-11,22.0
2020-07-12,22.0
2020-07-13,22.5
2020-07-14,23.0
2020-07-15,23.5
2020-07-16,25.0
2020-07-17,26.0
2020-07-18,26.0
2020-07-19,25.0
2020-07-20,24.0
2020-07-21,23.0
2020-07-22,22.0
2020-07-23,21.0
2020-07-24,20.0
2020-07-25,19.0
2020-07-26,18.0
2020-07-27,17.0
2020-07-28,16.0
2020-07-29,15.0
2020-07-30,14.0
2020-07-31,13.0
2020-08-01,12.0
2020-08-02,11.0
2020-08-03,10.0
2020-08-04,9.0
2020-08-05,8.0
2020-08-06,7.0
2020-08-07,6.0
2020-08-08,5.0
2020-08-09,4.0
2020-08-10,3.0
2020-08-11,2.0
2020-08-12,1.0
2020-08-13,0.0
2020-08-14,-1.0
2020-08-15,-2.0
2020-08-16,-3.0
2020-08-17,-4.0
2020-08-18,-5.0
2020-08-19,-6.0
2020-08-20,-7.0
2020-08-21,-8.0
2020-08-22,-9.0
2020-08-23,-10.0
2020-08-24,-11.0
2020-08-25,-12.0
2020-08-26,-13.0
2020-08-27,-14.0
2020-08-28,-15.0
2020-08-29,-16.0
2020-08-30,-17.0
2020-08-31,-18.0
2020-09-01,-19.0
2020-09-02,-20.0
2020-09-03,-21.0
2020-09-04,-22.0
2020-09-05,-23.0
2020-09-06,-24.0
2020-09-07,-25.0
2020-09-08,-26.0
2020-09-09,-27.0
2020-09-10,-27.0
2020-09-11,-26.0
2020-09-12,-24.0
2020-09-13,-22.5
2020-09-14,-22.0
2020-09-15,-21.5
2020-09-16,-21.0
2020-09-17,-21.0
2020-09-18,-21.0
2020-09-19,-21.0
2020-09-20,-21.0
2020-09-21,-21.0
2020-09-22,-22.0
2020-09-23,-22.0
2020-09-24,-23.0
2020-09-25,-23.0
2020-09-26,-24.0
2020-09-27,-25.0
2020-09-28,-10.0
2020-09-29,5.0
2020-09-30,5.0
2020-10-01,4.0
2020-10-02,3.0
2020-10-03,3.0
2020-10-04,2.0
2020-10-05,1.0
2020-10-06,1.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,-1.0
2020-10-10,-1.0
2020-10-11,-1.0
2020-10-12,-1.0
2020-10-13,-2.0
2020-10-14,-2.0
2020-10-15,-2.0
2020-10-16,-2.0
2020-10-17,-2.0
2020-10-18,-2.0
2020-10-19,-2.0
2020-10-20,-2.0
2020-10-21,-2.0
2020-10-22,-2.0
2020-10-23,-2.0
2020-10-24,-1.5
2020-10-25,-1.0
2020-10-26,-0.5
2020-10-27,0.0
2020-10-28,1.0
2020-10-29,3.0
2020-10-30,6.0
2020-10-31,8.0
2020-11-01,8.0
2020-11-02,7.0
2020-11-03,6.0
2020-11-04,5.0
2020-11-05,4.0
2020-11-06,3.0
2020-11-07,2.0
2020-11-08,1.0
2020-11-09,0.0
2020-11-10,-1.0
2020-11-11,-2.0
2020-11-12,-3.0
2020-11-13,-4.0
2020-11-14,-5.0
2020-11-15,-6.0
2020-11-16,-7.0
2020-11-17,-8.0
2020-11-18,-9.0
2020-11-19,-10.0
2020-11-20,-11.0
2020-11-21,-12.0
2020-11-22,-13.0
2020-11-23,-14.0
2020-11-24,-15.0
2020-11-25,-16.0
2020-11-26,-17.0
2020-11-27,-18.0
2020-11-28,-19.0
2020-11-29,-20.0
2020-11-30,-21.0
2020-12-01,-22.0
2020-12-02,-23.0
2020-12-03,-24.0
2020-12-04,-25.0
2020-12-05,-26.0
2020-12-06,-27.0
2020-12-07,-28.0
2020-12-08,-29.0
2020-12-09,-30.0
2020-12-10,-31.0
2020-12-11,-32.0
2020-12-12,-33.0
2020-12-13,-34.0
2020-12-14,-34.0
2020-12-15,-34.0
2020-12-16,-34.0
2020-12-17,-34.0
2020-12-18,-34.0
2020-12-19,-33.5
2020-12-20,-21.0
2020-12-21,-8.5
2020-12-22,-8.0
2020-12-23,-8.0
2020-12-24,-8.0
2020-12-25,-8.0
2020-12-26,-8.0
2020-12-27,-8.0
2020-12-28,-9.0
2020-12-29,-9.0
2020-12-30,-10.0
2020-12-31,-10.0
2021-01-01,-11.0
2021-01-02,-11.0
2021-01-03,-12.0
2021-01-04,-12.0
2021-01-05,-13.0
2021-01-06,-13.0
2021-01-07,-13.0
2021-01-08,-14.0
2021-01-09,-14.0
2021-01-10,-14.0
2021-01-11,-15.0
2021-01-12,-15.0
2021-01-13,-15.0
2021-01-14,-15.0
2021-01-15,-15.0
2021-01-16,-15.0
2021-01-17,-15.0
2021-01-18,-15.0
2021-01-19,-15.0
2021-01-20,-15.0
2021-01-21,-15.0
2021-01-22,-15.0
2021-01-23,-15.0
2021-01-24,-15.0
2021-01-25,-15.0
2021-01-26,-14.5
2021-01-27,-14.0
2021-01-28,-14.0
2021-01-29,-14.0
2021-01-30,-13.5
2021-01-31,10.5
2021-02-01,34.0
2021-02-02,34.0
2021-02-03,34.0
2021-02-04,34.0
2021-02-05,34.0
2021-02-06,34.0
2021-02-07,34.0
2021-02-08,34.0
2021-02-09,34.0
2021-02-10,34.0
2021-02-11,34.0
2021-02-12,34.0
2021-02-13,34.0
2021-02-14,34.0
2021-02-15,34.0
2021-02-16,34.0
2021-02-17,34.0
2021-02-18,34.0
2021-02-19,34.0
2021-02-20,34.0
2021-02-21,34.0
2021-02-22,34.0
2021-02-23,34.0
2021-02-24,34.0
2021-02-25,34.0
2021-02-26,34.0
2021-02-27,34.0
2021-02-28,34.0
2021-03-01,34.0
2021-03-02,34.0
2021-03-03,34.0
2021-03-04,34.0
2021-03-05,34.0
2021-03-06,34.0
2021-03-07,34.0
2021-03-08,34.0
2021-03-09,34.0
2021-03-10,34.0
2021-03-11,34.0
2021-03-12,34.0
2021-03-13,34.0
2021-03-14,34.0
2021-03-15,34.0
2021-03-16,34.0
2021-03-17,34.0
2021-03-18,34.0
2021-03-19,34.0
2021-03-20,34.0
2021-03-21,34.0
2021-03-22,34.0
2021-03-23,34.0
2021-03-24,34.0
2021-03-25,34.0
2021-03-26,34.0
2021-03-27,34.0
2021-03-28,34.0
2021-03-29,34.0
2021-03-30,34.0
2021-03-31,33.0
2021-04-01,32.0
2021-04-02,31.0
2021-04-03,30.0
2021-04-04,30.0
2021-04-05,29.0
2021-04-06,28.0
2021-04-07,27.0
2021-04-08,26.0
2021-04-09,25.0
2021-04-10,24.0
2021-04-11,23.0
2021-04-12,22.0
