DATE,lag_days
2020-01-22,9.0
2020-01-23,18.0
2020-01-24,17.0
2020-01-25,16.0
2020-01-26,15.0
2020-01-27,14.0
2020-01-28,13.0
2020-01-29,12.0
2020-01-30,11.0
2020-01-31,10.0
2020-02-01,9.0
2020-02-02,8.0
2020-02-03,7.0
2020-02-04,6.0
2020-02-05,5.0
2020-02-06,5.0
2020-02-07,4.0
2020-02-08,3.0
2020-02-09,2.0
2020-02-10,1.0
2020-02-11,0.0
2020-02-12,-1.0
2020-02-13,-2.0
2020-02-14,-3.0
2020-02-15,-3.0
2020-02-16,-3.0
2020-02-17,-3.0
2020-02-18,-3.0
2020-02-19,-3.0
2020-02-20,-3.0
2020-02-21,-3.0
2020-02-22,-3.0
2020-02-23,-3.0
2020-02-24,-3.0
2020-02-25,-3.0
2020-02-26,-3.0
2020-02-27,-3.0
2020-02-28,-3.0
2020-02-29,-3.0
2020-03-01,-2.0
2020-03-02,-1.0
2020-03-03,-1.0
2020-03-04,-1.0
2020-03-05,-1.0
2020-03-06,-1.0
2020-03-07,-1.0
2020-03-08,-1.0
2020-03-09,-1.0
2020-03-10,-1.0
2020-03-11,-1.0
2020-03-12,-1.0
2020-03-13,-1.0
2020-03-14,-2.0
2020-03-15,-3.0
2020-03-16,-4.0
2020-03-17,-5.0
2020-03-18,-6.0
2020-03-19,-7.0
2020-03-20,-8.0
2020-03-21,-9.0
2020-03-22,-10.0
2020-03-23,-11.0
2020-03-24,-12.0
2020-03-25,-13.0
2020-03-26,-14.0
2020-03-27,-15.0
2020-03-28,-16.0
2020-03-29,-17.0
2020-03-30,-18.0
2020-03-31,-19.0
2020-04-01,-20.0
2020-04-02,-20.0
2020-04-03,-20.0
2020-04-04,-20.0
2020-04-05,-20.0
2020-04-06,-20.0
2020-04-07,-20.0
2020-04-08,-20.0
2020-04-09,-20.0
2020-04-10,-20.0
2020-04-11,-20.0
2020-04-12,-20.0
2020-04-13,-20.0
2020-04-14,-20.0
2020-04-15,-20.0
2020-04-16,-16.5
2020-04-17,-13.0
2020-04-18,-13.0
2020-04-19,-13.0
2020-04-20,-13.0
2020-04-21,-13.0
2020-04-22,-14.0
2020-04-23,-15.0
2020-04-24,-16.0
2020-04-25,-17.0
2020-04-26,-18.0
2020-04-27,-19.0
2020-04-28,-20.0
2020-04-29,-20.0
2020-04-30,-20.0
2020-05-01,-20.0
2020-05-02,-20.0
2020-05-03,-20.0
2020-05-04,-20.0
2020-05-05,-20.0
2020-05-06,-20.0
2020-05-07,-20.0
2020-05-08,-20.0
2020-05-09,-20.0
2020-05-10,-20.0
2020-05-11,-20.0
2020-05-12,-20.0
2020-05-13,-20.0
2020-05-14,-20.0
2020-05-15,-20.0
2020-05-16,-20.0
2020-05-17,-20.0
2020-05-18,-20.0
2020-05-19,-20.0
2020-05-20,-20.0
2020-05-21,-20.0
2020-05-22,-20.0
2020-05-23,-20.0
2020-05-24,-20.0
2020-05-25,-20.0
2020-05-26,-20.0
2020-05-27,-20.0
2020-05-28,-20.0
2020-05-29,-20.0
2020-05-30,-10.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,-1.0
2020-06-14,-2.0
2020-06-15,-2.0
2020-06-16,-3.0
2020-06-17,-4.0
2020-06-18,-5.0
2020-06-19,-6.0
2020-06-20,-7.0
2020-06-21,-8.0
2020-06-22,-9.0
2020-06-23,-10.0
2020-06-24,-11.0
2020-06-25,-12.0
2020-06-26,-13.0
2020-06-27,-14.0
2020-06-28,-15.0
2020-06-29,-16.0
2020-06-30,-17.0
2020-07-01,-18.0
2020-07-02,-19.0
2020-07-03,-20.0
2020-07-04,-20.0
2020-07-05,-20.0
2020-07-06,-20.0
2020-07-07,-20.0
2020-07-08,-20.0
2020-07-09,-20.0
2020-07-10,-20.0
2020-07-11,-20.0
2020-07-12,-20.0
2020-07-13,-20.0
2020-07-14,-20.0
2020-07-15,-20.0
2020-07-16,-20.0
2020-07-17,-20.0
2020-07-18,-20.0
2020-07-19,-20.0
2020-07-20,-20.0
2020-07-21,-20.0
2020-07-22,-20.0
2020-07-23,-20.0
2020-07-24,-20.0
2020-07-25,-20.0
2020-07-26,-20.0
2020-07-27,-20.0
2020-07-28,-20.0
2020-07-29,-20.0
2020-07-30,-20.0
2020-07-31,-1.5
2020-08-01,17.0
2020-08-02,16.0
2020-08-03,15.0
2020-08-04,14.0
2020-08-05,13.0
2020-08-06,13.0
